HATLASDR1,RA,DEC,S500,eS500,S350,eS350,S250,eS250,ZA,ErrorZA,ZB,ErrorZB
J090626.6+022612,136.61083333333332,2.4366666666666665,71.0,9.0,99.0,8.0,113.0,7.0,2.009999990463257,0.41999998688697815,2.022728335145324,0.159919297312731
J090459.9+015043,136.2495833333333,1.8452777777777776,62.0,9.0,88.0,8.0,110.0,7.0,1.7400000095367432,0.41999998688697815,1.714301587387927,0.21902779950304682
J090408.6+012610,136.03583333333333,1.436111111111111,46.0,10.0,95.0,8.0,103.0,7.0,1.7899999618530273,0.36000001430511475,1.8626768683820112,0.2036454549827698
J090403.9+005619,136.01624999999999,0.938611111111111,50.0,9.0,87.0,8.0,104.0,7.0,1.690000057220459,0.3100000023841858,1.7108348194384444,0.005378698783839673
J090653.3+023207,136.7220833333333,2.5352777777777775,64.0,9.0,95.0,8.0,102.0,7.0,2.0799999237060547,0.3700000047683716,2.0718915448346693,0.08417136671015951
J090707.9-003134,136.78291666666664,-0.5261111111111111,56.0,10.0,95.0,8.0,102.0,7.0,1.940000057220459,0.3400000035762787,1.9863688695405068,0.01721556621581284
J091305.1-001409,138.27124999999998,-0.2358333333333333,62.0,9.0,97.0,8.0,95.0,7.0,2.180000066757202,0.3700000047683716,2.1772191164208357,0.006954649222495939
J090732.3-005207,136.88458333333332,-0.868611111111111,52.0,9.0,103.0,8.0,91.0,7.0,2.130000114440918,0.4699999988079071,2.1632530737254,0.23765537241477597
J091354.6-004539,138.4775,-0.7608333333333333,50.0,9.0,87.0,8.0,92.0,7.0,1.9500000476837158,0.3400000035762787,1.9915625917904975,0.04334088467580418
J090504.8+000800,136.26999999999998,0.1333333333333333,71.0,9.0,97.0,8.0,97.0,7.0,2.180000066757202,0.46000000834465027,2.2629611604160482,0.11345590279775294
J090308.3-000420,135.7845833333333,-0.07222222222222222,55.0,10.0,95.0,8.0,99.0,7.0,1.9800000190734863,0.3499999940395355,2.0217690697229007,0.045876922687418345
J090705.7+002128,136.77374999999998,0.35777777777777775,64.0,10.0,92.0,8.0,90.0,7.0,2.2799999713897705,0.3799999952316284,2.245272761417556,0.056888179267550756
J090433.4-010740,136.13916666666665,-1.1277777777777775,70.0,9.0,104.0,8.0,84.0,7.0,2.5199999809265137,0.4399999976158142,2.51056848930074,0.11625341550452625
J090239.0+002819,135.6625,0.4719444444444444,48.0,9.0,85.0,8.0,97.0,7.0,1.809999942779541,0.3199999928474426,1.8005623340940704,0.027465230533094027
J090931.8+000133,137.3825,0.02583333333333333,56.0,10.0,88.0,8.0,92.0,7.0,1.909999966621399,0.5400000214576721,2.071171631903977,0.02500881905639599
J090459.0-012911,136.2458333333333,-1.4863888888888888,44.0,9.0,88.0,8.0,92.0,7.0,1.8700000047683716,0.3700000047683716,1.8924663193928053,0.18964106811440132
J091148.2+003355,137.95083333333332,0.5652777777777777,72.0,9.0,102.0,8.0,90.0,7.0,2.450000047683716,0.4000000059604645,2.4273662800868117,0.005883890194606078
J090319.6+015635,135.83166666666665,1.9430555555555553,61.0,9.0,89.0,8.0,87.0,7.0,2.259999990463257,0.3799999952316284,2.2385174320037855,0.044198297371874896
